distance_km,hour_of_day,is_weekend,traffic_factor,duration_minutes
17.288,17,0,2.5,105.45
9.591,0,0,1.139,27.07
13.134,22,1,1.893,59.79
16.093,5,1,0.885,35.48
7.842,2,0,0.973,18.53
14.737,18,0,1.807,62.62
12.106,3,1,2.19,64.26
7.838,23,1,1.662,33.54
10.229,7,0,1.274,30.03
3.097,10,0,2.132,15.06
6.806,8,0,2.182,37.18
7.779,7,1,1.708,29.23
13.417,18,1,1.877,60.61
5.127,22,1,1.135,13.95
14.689,5,0,1.168,41.93
11.625,9,0,2.88,79.95
13.518,1,1,1.787,59.34
8.109,18,1,1.87,35.49
9.762,12,1,0.833,19.87
14.593,9,0,3.237,115.23
9.953,14,1,1.175,29.8
7.209,23,0,2.411,41.98
10.94,0,1,1.409,38.0
11.437,22,1,0.829,22.88
7.653,3,0,1.901,36.09
20.0,9,1,1.809,85.6
4.449,19,0,3.006,32.34
17.376,21,0,2.499,103.67
9.785,8,0,3.243,75.12
13.628,13,1,1.211,40.32
5.881,17,0,1.573,22.75
14.667,16,0,1.918,66.02
13.658,1,0,1.254,40.69
17.112,0,0,2.007,82.32
9.88,3,0,1.647,39.29
11.731,15,0,1.577,44.98
16.747,13,1,2.149,87.16
11.354,18,1,2.657,70.77
3.466,6,0,1.772,15.31
4.266,22,1,1.311,11.98
20.0,18,1,2.666,125.58
7.751,23,0,1.497,27.36
6.134,20,0,2.922,42.31
14.918,22,1,2.055,74.12
8.826,13,0,2.093,44.45
12.569,0,0,1.351,42.09
8.555,5,0,1.098,23.02
2.78,18,0,1.553,9.29
12.747,17,0,0.926,27.05
14.377,22,1,1.419,47.11
11.594,9,1,0.98,32.71
20.0,23,0,2.348,112.62
14.971,7,0,1.856,63.84
2.328,20,0,3.037,16.19
11.546,9,1,2.423,66.11
18.278,16,1,1.991,87.2
10.864,3,1,2.193,59.98
16.683,12,1,0.858,33.43
14.063,12,1,0.886,30.62
17.857,19,0,2.471,104.8
17.549,1,1,2.244,93.24
9.842,11,1,1.619,37.78
2.234,8,0,2.566,10.67
1.656,21,1,1.553,7.57
14.246,14,0,1.927,65.68
14.284,7,0,2.138,74.08
8.983,4,0,1.271,30.12
10.537,3,0,1.024,24.23
7.513,13,0,2.068,39.34
13.086,16,0,2.407,78.13
12.543,1,1,2.016,61.4
9.133,2,1,1.651,37.28
11.081,16,1,1.414,38.09
14.864,20,0,1.99,72.19
2.749,10,1,1.68,10.09
2.606,2,1,0.868,5.23
5.015,3,1,1.261,12.44
4.545,9,1,1.635,16.92
17.202,11,0,2.096,86.06
6.856,19,0,2.386,37.99
20.0,11,0,1.108,51.27
2.314,0,0,2.068,11.83
11.608,18,0,2.992,84.89
13.355,14,1,1.463,45.77
7.949,21,1,1.526,29.54
15.378,6,1,2.166,80.23
7.628,4,1,1.535,25.56
10.526,12,0,1.542,38.36
4.592,9,0,1.935,21.48
5.637,22,1,0.855,12.19
5.987,10,0,1.776,24.59
1.203,11,1,1.833,6.45
8.948,20,0,1.431,28.24
5.202,14,1,2.042,24.9
6.158,1,1,1.496,21.5
9.318,2,0,1.846,39.6
10.112,18,0,1.751,42.41
9.248,10,0,2.155,48.36
5.797,11,1,1.313,19.26
16.086,10,0,1.769,66.89
16.571,4,1,0.845,33.07
9.363,21,1,0.917,20.45
11.298,22,0,1.898,50.86
3.795,6,1,2.17,18.69
15.727,17,0,1.925,72.76
10.975,5,0,2.026,54.74
4.883,14,0,1.708,20.4
3.586,11,1,1.426,11.98
7.197,4,1,0.8,15.26
12.078,16,0,1.285,37.34
18.747,7,1,2.073,92.1
11.903,12,0,1.437,44.47
10.053,9,1,2.32,56.6
15.314,2,0,1.235,46.36
14.477,9,0,1.146,38.17
13.362,15,0,1.874,57.98
11.198,5,0,1.69,44.33
5.223,16,0,1.464,16.25
20.0,11,0,2.046,98.61
8.891,1,1,1.555,33.55
3.755,4,0,2.017,17.32
20.0,1,1,2.148,98.62
4.831,11,0,2.272,25.91
14.961,23,1,2.089,71.94
9.53,2,1,0.841,21.87
9.864,2,1,1.731,40.27
12.75,11,1,1.14,36.8
20.0,11,0,2.42,117.43
20.0,11,1,1.306,64.28
7.155,11,1,1.888,30.77
10.978,23,0,1.648,42.6
6.511,14,0,2.494,38.23
10.296,22,1,2.246,58.75
7.037,22,0,1.735,28.98
15.968,11,0,1.006,39.79
13.291,17,1,1.435,46.56
16.685,15,1,1.897,75.87
11.577,14,1,1.761,47.19
14.753,13,0,2.213,80.92
14.642,7,1,2.17,75.03
19.574,20,1,2.158,101.24
11.146,5,1,2.009,51.16
17.133,20,0,2.735,111.37
1.826,9,1,1.897,9.08
8.899,15,1,1.032,19.9
8.595,11,1,0.92,17.66
4.42,3,0,1.293,15.12
5.741,5,1,2.149,29.43
7.209,15,0,0.953,15.53
4.192,1,0,1.278,10.5
15.179,4,1,1.833,65.12
9.01,6,1,1.566,35.46
9.277,3,0,2.458,55.51
3.066,4,0,1.824,13.07
17.432,4,0,1.358,57.04
14.042,9,1,1.945,63.81
12.469,3,1,1.613,48.16
13.847,15,1,2.2,73.63
10.754,20,1,1.23,29.2
6.142,0,1,1.2,19.02
11.505,23,0,2.0,57.09
10.783,12,1,2.184,54.72
7.148,22,1,1.653,28.83
8.147,9,1,2.338,45.08
10.59,9,0,2.307,57.03
11.247,4,1,0.784,21.76
9.476,17,1,2.148,48.67
8.955,7,0,1.939,39.57
15.998,4,0,2.44,93.26
15.845,15,1,1.715,65.28
15.799,7,0,2.352,87.97
0.731,12,1,1.005,1.74
11.043,10,1,1.84,45.71
9.4,16,1,1.137,26.15
12.379,10,1,2.065,60.11
14.249,13,1,0.853,28.69
2.686,7,1,1.873,11.24
7.652,20,1,2.314,43.19
10.506,22,1,1.776,45.07
15.292,4,1,0.954,35.0
1.244,21,0,2.095,4.21
2.747,16,1,0.839,5.04
6.965,10,1,1.167,19.3
2.916,1,1,0.922,4.78
13.879,8,0,2.688,90.52
5.212,1,0,2.476,29.76
15.486,13,1,2.239,83.43
15.129,21,0,1.911,68.85
7.326,0,0,2.463,44.08
6.691,7,0,1.583,25.97
18.86,19,0,1.572,71.95
8.569,1,0,2.059,41.45
7.887,9,0,2.843,54.45
7.514,10,0,1.707,32.15
13.151,23,0,1.864,60.56
14.923,21,1,1.922,68.2
13.592,7,1,2.032,67.7
2.165,13,0,1.46,7.55
6.707,6,0,1.256,21.57
9.234,18,0,2.099,47.45
18.473,3,1,2.119,92.96
11.243,10,1,1.693,44.3
9.639,23,1,1.885,43.31
3.079,7,0,0.828,4.24
11.719,18,0,2.143,59.63
9.23,23,1,1.425,31.42
6.768,20,0,2.198,34.31
0.688,0,1,0.93,1.15
7.454,20,1,2.247,39.79
13.371,23,1,1.54,49.01
7.278,3,0,1.21,22.85
12.125,2,1,2.188,62.58
5.176,20,0,1.247,15.77
12.816,5,0,1.65,48.34
12.287,1,0,1.159,35.25
18.591,2,1,2.096,93.16
5.366,22,1,2.141,27.42
8.151,21,1,1.307,25.4
5.366,3,1,1.075,11.2
11.963,10,0,2.441,70.44
7.886,18,1,1.106,19.34
14.131,4,1,1.809,59.71
7.969,11,1,0.876,14.93
10.566,3,0,0.952,22.24
19.288,2,0,1.772,81.37
1.699,15,0,0.908,2.26
6.142,20,1,2.117,31.83
16.621,10,1,2.535,100.49
14.547,10,0,2.099,74.46
7.289,20,1,2.861,50.32
3.421,6,0,1.959,14.78
5.165,14,1,1.992,27.33
16.278,8,0,2.621,103.61
9.089,12,1,1.552,34.21
10.512,7,1,0.974,23.22
1.782,10,1,1.147,5.77
6.706,11,1,1.428,23.61
13.202,15,0,1.302,41.82
13.132,6,1,1.253,39.18
15.028,1,0,0.838,29.84
8.185,17,0,1.363,27.37
8.884,5,1,1.325,28.01
10.751,8,0,2.316,56.66
11.706,3,1,1.746,45.17
5.64,11,1,1.665,22.79
11.62,2,0,1.332,37.21
8.893,18,1,1.777,38.68
12.305,5,0,1.632,49.04
2.218,4,0,2.186,12.64
10.998,13,1,1.468,39.07
11.827,5,1,1.585,45.19
6.014,8,1,2.014,29.18
10.11,20,0,1.698,38.67
16.147,14,0,2.119,82.33
6.147,5,0,2.134,34.21
7.598,19,0,1.755,31.66
16.347,3,0,2.437,94.41
4.708,4,0,1.224,13.16
6.349,8,1,1.682,22.9
17.213,23,1,1.783,74.84
9.926,2,1,1.691,39.14
9.095,13,0,1.641,35.28
14.519,21,0,0.878,31.7
13.684,5,1,1.418,48.17
12.117,8,0,2.487,72.23
15.079,12,1,1.831,66.31
2.739,18,0,2.188,12.79
3.15,13,0,1.612,12.27
10.474,12,0,1.891,48.17
10.876,5,1,1.257,33.39
13.166,3,0,2.079,68.12
8.42,4,0,1.271,27.33
4.296,21,1,1.034,11.63
10.133,7,1,1.31,31.99
10.393,10,0,1.895,49.4
8.111,15,0,0.828,17.19
18.807,20,1,1.778,80.76
9.989,2,1,0.841,23.73
12.827,20,0,1.725,51.19
14.534,13,0,1.571,53.79
13.853,22,0,1.079,35.04
5.402,5,1,0.914,12.08
19.073,8,0,1.621,73.04
10.891,1,1,2.035,53.63
15.36,23,0,0.875,33.01
9.109,4,0,2.383,53.29
13.704,13,1,1.135,35.85
13.992,5,0,2.167,76.48
8.806,10,0,2.262,47.38
12.525,19,0,2.065,60.61
11.385,7,0,0.811,21.2
11.929,0,1,0.722,19.07
5.112,15,0,2.453,27.67
2.385,16,1,1.792,7.43
14.194,2,0,1.539,55.36
15.713,12,1,1.207,45.42
14.862,5,1,1.433,51.7
13.968,9,1,1.463,49.69
15.342,10,0,1.242,46.32
8.614,8,0,1.109,21.56
12.546,4,0,0.82,25.63
15.866,11,0,1.79,68.01
20.0,4,0,2.339,115.0
17.676,5,1,1.977,83.59
10.423,8,1,2.693,67.59
7.882,13,1,0.813,15.23
8.79,17,0,2.482,53.16
5.821,18,1,1.708,24.43
20.0,15,1,1.893,92.07
20.0,8,0,2.729,132.83
11.812,5,0,1.202,33.45
3.002,22,1,2.17,13.85
18.206,9,0,2.124,92.05
6.413,0,1,2.124,32.93
11.954,0,0,1.797,52.32
2.304,2,1,1.798,8.9
16.312,13,1,1.713,65.38
11.576,11,0,1.931,54.24
13.628,22,1,2.022,64.78
13.968,19,0,2.454,83.65
4.733,20,0,2.856,33.51
15.865,6,0,1.978,73.77
9.59,5,1,1.474,36.07
6.302,18,0,1.399,23.76
15.366,5,1,0.966,36.93
20.0,19,1,2.337,110.2
12.479,6,1,1.787,54.42
13.41,7,0,0.884,25.88
6.23,21,1,1.026,14.08
6.167,3,1,1.921,25.3
5.95,12,1,1.005,14.94
9.161,18,0,1.374,29.99
5.742,7,0,2.229,30.08
10.776,15,0,1.61,44.48
7.143,21,0,1.004,18.76
16.391,6,0,0.873,36.33
4.604,10,0,1.232,14.69
6.707,0,1,0.892,15.51
19.916,3,1,2.047,99.42
14.375,18,1,1.011,34.73
13.238,10,0,1.149,37.33
2.656,9,1,1.494,7.21
2.209,14,1,1.132,6.13
9.889,13,1,1.882,46.54
8.169,4,0,1.095,19.41
18.474,1,1,1.798,79.3
14.54,11,1,1.629,59.61
13.647,5,1,1.866,60.65
16.194,7,0,1.952,74.73
9.118,21,0,1.606,35.77
14.675,22,1,1.368,48.88
3.602,21,1,1.614,19.75
10.203,9,1,2.297,56.52
4.57,8,1,2.241,26.66
9.069,19,1,2.25,48.33
5.42,8,1,1.741,22.48
14.628,21,1,2.107,72.0
7.563,17,0,1.299,21.16
8.64,10,0,1.531,32.2
4.395,11,1,1.616,16.31
11.715,15,0,1.651,46.58
14.181,4,0,2.487,82.21
16.846,5,0,1.629,69.56
3.36,8,0,2.722,23.2
9.393,20,1,1.738,41.41
20.0,11,0,2.316,111.27
16.497,11,1,0.917,34.47
6.655,9,1,1.843,27.62
8.999,15,1,1.868,40.1
20.0,7,0,1.159,57.39
16.259,20,1,2.47,96.63
15.926,0,0,1.973,74.12
9.769,20,0,1.705,40.72
8.781,4,1,1.991,43.85
1.673,6,1,1.992,9.46
13.108,17,1,2.113,65.82
3.757,18,1,1.233,9.52
16.208,8,0,2.049,80.88
18.342,11,1,1.372,60.22
20.0,4,0,1.359,68.16
7.968,3,1,1.332,23.18
8.696,13,0,0.992,20.53
14.42,18,1,1.297,44.38
10.071,23,0,1.621,36.06
4.868,21,0,2.462,29.0
7.788,3,1,1.732,32.39
4.955,19,0,1.066,14.06
10.345,5,0,2.077,51.0
6.554,7,0,1.58,26.07
1.231,3,1,1.86,7.01
18.198,19,1,2.706,118.38
6.564,1,0,2.235,33.95
7.368,3,0,0.804,16.44
10.033,11,0,0.878,21.56
13.735,6,0,2.381,79.21
10.018,3,1,0.791,17.52
9.493,16,0,2.439,53.89
13.569,18,1,2.775,91.0
3.067,21,1,1.491,7.75
12.551,8,1,2.853,87.55
14.204,9,1,2.352,79.87
16.338,9,1,2.768,110.13
13.147,22,0,2.093,67.8
8.817,21,1,2.063,43.43
6.446,8,0,3.214,49.83
18.605,6,0,1.41,60.96
10.172,12,0,1.669,41.34
12.876,12,1,1.357,42.49
5.735,14,0,2.35,30.12
2.269,19,0,2.755,16.22
9.943,16,0,1.441,34.11
6.659,8,0,1.771,28.08
12.131,19,1,1.912,54.81
4.765,7,0,1.685,19.47
10.314,21,1,1.227,29.5
11.761,17,0,0.995,27.45
19.31,10,1,2.758,128.72
9.223,16,1,1.507,31.63
11.129,3,0,2.452,65.39
7.085,20,0,2.952,49.56
9.853,20,0,2.691,63.95
8.269,1,0,2.15,40.84
8.086,13,1,0.746,13.77
1.777,23,0,1.991,11.59
14.354,14,1,1.325,47.14
7.172,12,1,2.189,39.07
9.201,0,0,1.009,24.07
13.67,9,0,2.694,89.51
9.726,7,1,1.017,22.96
14.954,17,1,1.706,63.25
16.452,11,0,1.941,77.64
4.077,15,1,1.222,10.72
16.459,5,0,1.332,50.69
9.089,11,0,1.955,41.81
13.035,20,0,2.9,92.23
7.514,20,0,2.648,50.02
1.447,6,0,1.738,4.2
4.644,11,1,1.062,12.17
5.057,16,0,1.927,20.97
13.542,16,0,1.559,52.23
9.602,11,0,1.172,30.31
2.658,6,1,1.314,11.08
6.407,20,1,2.597,38.4
2.919,11,0,1.678,9.42
8.239,15,0,1.653,34.98
9.437,6,0,1.118,23.77
18.136,15,1,1.453,65.05
8.837,4,0,1.029,18.68
18.554,12,0,2.293,101.88
12.766,19,1,2.661,82.88
12.916,21,1,0.977,32.76
16.776,12,1,0.922,38.95
2.4,5,1,2.099,12.28
2.881,2,1,1.729,13.48
18.018,13,1,2.058,87.94
5.454,12,1,1.621,21.09
14.545,7,0,1.282,42.2
16.381,0,0,1.684,65.47
15.52,18,1,1.456,54.94
8.506,12,0,1.502,31.04
5.497,11,1,1.846,22.67
4.786,22,0,0.97,8.52
11.267,12,0,2.167,58.47
8.979,8,0,1.86,38.21
6.499,19,0,3.13,47.29
12.049,21,1,1.018,29.82
5.015,20,0,3.196,36.72
10.367,12,0,1.68,41.76
20.0,11,1,2.194,104.74
6.574,18,0,1.617,24.92
20.0,8,1,2.317,111.6
5.778,14,1,2.092,30.12
12.223,22,0,2.16,62.06
7.321,8,0,1.675,27.42
5.943,6,1,1.0,15.74
12.927,7,0,2.284,71.12
10.214,2,1,1.659,41.65
16.098,19,1,1.915,77.18
8.684,8,1,1.378,28.42
9.645,17,0,1.654,36.5
15.401,22,0,0.82,31.73
2.625,8,0,2.252,14.33
3.958,22,1,1.279,13.83
10.996,21,0,2.184,57.15
8.065,23,0,1.604,28.39
9.626,20,1,2.498,57.11
7.146,8,1,2.605,46.5
8.341,17,1,1.247,23.77
2.443,17,0,2.465,15.19
10.115,14,0,1.448,34.67
15.11,20,1,2.624,97.24
4.618,9,1,2.14,21.24
8.186,14,1,0.976,21.09
13.999,23,0,1.158,38.37
20.0,16,0,0.977,47.29
9.173,7,0,2.054,44.49
11.522,10,1,1.865,51.85
17.175,22,0,1.804,71.98
5.623,11,1,1.546,21.53
10.388,9,0,1.04,27.1
11.574,15,1,0.734,17.72
7.125,11,0,1.5,24.25
8.629,8,0,1.973,40.31
14.933,21,1,1.156,41.29
12.147,20,1,2.165,60.38
11.934,1,0,1.116,32.92
15.548,15,0,1.381,52.25
16.612,1,1,0.843,33.6
7.403,8,1,2.583,45.06
2.825,14,0,2.054,15.56
4.789,21,1,2.152,25.09
13.493,3,1,1.456,46.73
20.0,13,1,0.743,37.02
11.092,1,1,1.773,48.65
10.222,20,0,1.172,30.88
11.696,7,1,2.222,62.98
14.474,11,0,1.226,40.15
11.989,15,0,1.763,49.46
2.901,5,0,1.703,11.5
7.422,20,1,2.395,44.21
10.917,17,1,1.011,25.08
15.075,13,1,0.889,31.61
1.648,15,0,0.968,3.75
6.361,22,1,0.795,12.57
14.293,2,1,1.946,69.08
19.712,11,0,2.2,104.04
20.0,3,0,2.033,98.0
1.164,20,0,2.274,4.03
3.196,13,0,1.084,7.42
5.9,19,1,2.793,41.09
13.639,23,1,1.651,52.95
14.612,8,1,2.849,98.47
9.535,9,0,1.704,39.48
4.501,22,1,2.126,21.02
2.753,8,1,2.705,17.73
6.239,18,0,2.663,39.43
12.481,3,1,0.777,20.65
10.561,10,1,2.686,64.91
14.032,0,1,0.803,28.43
0.913,22,0,1.06,1.0
15.643,13,1,1.923,67.62
10.817,17,1,1.122,27.83
12.018,12,0,1.754,51.55
17.524,13,1,1.768,73.69
4.978,20,0,2.741,32.41
16.991,19,0,2.013,83.08
1.672,23,0,1.213,4.37
5.438,10,0,1.714,21.05
11.357,17,1,1.673,45.85
9.515,21,0,1.234,29.12
14.126,2,1,1.73,59.04
17.097,9,1,1.396,54.26
17.575,5,0,1.651,72.44
16.435,16,1,1.23,47.84
6.592,16,1,1.962,31.59
6.015,0,1,1.065,14.56
8.588,20,0,1.962,41.7
6.765,14,0,1.151,19.9
11.346,16,0,1.531,43.12
6.902,5,1,0.824,11.3
15.848,10,1,2.848,107.82
11.721,23,1,0.952,27.1
15.092,19,0,2.358,86.14
15.105,4,1,1.809,63.53
6.943,0,1,2.174,38.31
9.128,5,1,2.047,43.51
4.17,23,1,1.822,18.32
8.805,20,0,2.191,43.61
15.799,23,0,1.748,67.13
12.318,12,1,1.904,56.08
8.801,14,1,0.858,19.01
14.076,17,0,1.468,49.45
9.836,2,1,1.216,29.0
10.785,2,0,2.001,51.36
6.365,5,1,1.562,23.39
15.138,4,0,2.277,83.75
8.209,20,0,1.3,27.74
10.963,14,1,2.029,53.23
8.015,13,1,0.841,16.14
7.415,17,0,0.883,17.02
14.02,9,1,2.767,94.84
5.754,19,0,3.176,43.84
6.862,2,1,2.01,31.69
7.698,10,1,1.98,35.88
12.603,15,1,1.373,39.6
9.333,4,1,1.515,32.76
13.798,0,0,0.841,26.55
14.193,13,1,0.79,25.3
13.027,2,1,1.179,39.08
12.878,12,0,2.214,69.42
13.194,4,1,0.958,33.0
12.47,13,0,2.22,65.7
3.772,11,0,2.448,24.46
19.482,5,1,1.007,49.01
14.518,2,1,2.062,73.6
6.138,5,0,1.436,22.14
17.535,4,0,1.378,58.24
11.345,3,0,1.149,32.73
12.396,19,0,1.777,53.19
12.83,0,1,1.697,52.52
11.148,8,0,1.388,38.11
19.427,17,1,1.561,72.29
14.977,10,1,1.037,40.83
10.166,2,1,1.32,31.31
7.702,10,0,2.616,45.31
8.01,14,0,0.958,19.17
15.08,15,0,2.411,85.05
10.703,5,1,1.927,50.72
7.148,5,1,1.895,31.4
17.494,3,1,1.571,67.1
8.387,5,1,1.307,26.86
5.595,13,1,1.553,21.05
14.039,18,1,1.583,55.54
4.742,19,0,2.555,26.79
10.231,4,0,2.087,49.66
8.807,14,0,1.15,25.21
5.726,22,1,2.235,29.83
4.882,9,0,1.856,21.27
7.693,0,0,1.534,28.17
5.061,13,0,1.926,22.44
18.126,21,0,1.028,44.89
17.125,13,0,0.944,37.82
7.821,5,1,1.499,26.93
6.765,19,0,2.317,38.25
1.308,1,1,1.798,4.74
14.449,23,1,1.431,52.41
17.373,2,1,1.658,70.62
19.918,15,1,1.364,67.81
19.821,23,1,0.814,38.06
18.58,23,0,1.288,58.96
15.988,8,0,2.679,103.66
5.747,11,0,1.244,16.63
18.262,4,0,2.224,95.82
9.536,23,0,1.158,26.38
16.394,12,1,1.181,45.1
8.687,22,1,1.446,32.01
10.864,16,0,0.966,27.57
8.575,20,1,1.602,32.9
7.468,23,0,1.684,30.86
20.0,0,0,0.82,39.95
3.653,0,0,0.897,8.27
10.173,3,0,0.947,21.97
9.079,3,0,1.231,25.93
3.83,8,1,2.313,19.99
14.037,12,1,2.244,73.36
14.631,6,1,0.993,34.03
13.832,22,1,0.878,29.19
4.65,15,0,1.91,21.73
4.872,0,1,1.452,16.97
15.725,7,0,1.454,53.88
19.754,9,1,1.046,47.16
14.613,10,0,2.899,101.75
17.125,9,1,2.719,110.52
13.26,23,0,1.038,33.87
11.828,9,1,1.998,58.96
8.809,1,1,1.925,41.43
7.758,17,0,2.06,38.55
13.824,0,1,2.108,69.12
17.38,3,1,1.655,68.28
1.057,19,0,1.179,3.39
15.434,21,0,1.347,51.18
20.0,2,0,1.266,60.79
8.614,4,0,2.145,43.43
14.422,2,0,0.812,30.22
10.17,15,0,1.15,27.03
9.555,19,0,2.358,53.65
9.268,17,0,1.126,23.03
8.474,17,0,1.589,31.6
14.443,15,1,0.99,33.58
4.755,13,1,1.231,14.91
20.0,0,1,1.508,70.0
10.697,13,0,2.07,54.02
4.584,6,1,2.084,22.28
2.947,6,1,0.992,5.86
1.737,1,0,1.277,6.51
8.933,7,1,1.644,35.76
15.565,2,1,2.031,73.81
3.844,8,0,2.653,24.38
12.557,4,0,1.51,44.39
18.039,13,1,1.453,63.75
5.039,23,1,2.173,23.63
12.131,15,1,0.968,26.28
16.571,22,1,1.003,40.38
12.761,20,0,1.891,57.23
9.339,18,0,2.781,60.61
20.0,21,1,2.079,100.87
10.568,2,0,1.035,27.18
7.981,18,0,2.705,51.9
13.727,11,1,1.412,45.21
5.853,17,1,1.412,18.31
15.978,14,0,0.936,37.56
3.728,8,0,2.581,20.03
8.383,17,0,1.606,32.37
13.909,0,0,2.219,72.74
5.69,21,1,1.421,19.24
6.177,7,1,1.289,18.42
19.114,5,1,0.999,48.64
16.307,5,0,0.999,41.05
8.421,21,1,2.216,44.72
18.478,3,0,1.488,65.14
12.984,16,1,1.71,53.3
15.244,18,0,2.807,102.24
3.424,21,0,1.324,7.52
14.646,1,0,1.792,63.6
10.087,21,0,2.459,62.99
4.661,1,1,1.328,14.52
5.85,14,0,1.167,14.83
12.014,5,1,1.835,50.46
17.748,16,1,0.821,36.44
20.0,8,1,1.284,59.74
2.544,15,0,2.199,13.88
5.232,7,0,2.145,27.65
11.498,9,1,1.293,36.72
19.673,15,0,1.818,84.74
15.047,3,1,1.504,55.63
17.893,10,1,2.683,115.81
14.274,9,1,1.989,68.83
7.475,3,0,1.724,32.89
7.558,3,1,1.98,33.89
8.035,10,0,1.266,25.02
9.538,16,0,1.509,35.43
17.56,11,1,1.777,75.94
6.856,9,0,2.685,45.42
16.828,9,0,1.504,62.3
18.079,13,0,1.134,49.01
13.007,8,0,1.186,35.79
12.837,5,1,0.765,21.38
4.378,11,0,2.254,24.08
15.261,16,0,2.017,71.85
5.704,23,0,2.371,35.03
6.458,3,0,2.219,32.99
10.392,10,0,2.07,49.88
8.977,15,0,1.454,31.11
5.512,7,1,1.165,16.0
9.568,5,0,2.498,56.59
10.87,2,0,1.044,25.6
20.0,6,1,1.026,50.44
13.597,15,1,1.89,61.89
9.624,21,1,2.231,49.52
1.355,15,1,1.073,3.83
16.565,5,1,1.645,65.27
11.098,21,1,1.933,52.14
12.123,17,0,2.419,72.5
19.666,10,1,1.816,86.64
13.009,13,0,1.331,41.77
6.67,17,1,1.448,24.27
13.106,11,1,1.21,36.66
18.939,23,0,2.101,94.45
18.27,7,0,1.199,51.53
17.44,3,1,0.98,40.61
3.18,0,1,1.62,12.26
13.777,15,0,1.974,65.77
16.038,13,0,1.645,65.0
4.906,9,1,1.031,13.65
3.576,3,1,1.138,9.73
4.74,2,1,1.492,16.29
2.409,21,0,2.298,15.39
9.82,21,1,1.13,24.86
3.959,1,0,1.419,11.41
12.307,13,1,1.208,35.93
14.526,8,0,1.937,67.05
12.753,14,1,1.577,46.26
2.938,8,0,2.464,18.22
20.0,2,1,1.64,80.91
7.71,23,0,1.201,19.84
10.514,18,1,1.923,50.25
8.373,23,0,2.39,49.13
3.278,13,1,2.04,17.79
7.849,7,1,2.066,39.55
10.208,0,0,2.231,52.78
11.038,9,1,2.732,69.35
10.144,0,1,2.139,53.18
14.349,5,1,1.686,57.44
17.757,2,1,1.441,58.94
2.505,22,1,1.495,10.48
10.601,14,0,2.095,52.71
13.042,9,1,2.081,64.41
16.792,20,0,2.912,116.3
10.176,21,1,1.943,45.01
9.031,18,0,1.086,25.43
12.495,8,0,1.15,34.76
12.548,5,0,0.824,22.26
15.218,6,0,2.408,87.54
2.707,13,0,1.82,13.05
7.998,9,1,1.404,26.92
8.322,2,0,1.597,34.71
4.133,19,1,1.081,7.79
11.662,11,0,0.809,21.18
19.287,1,0,1.242,57.47
17.664,10,1,1.218,51.97
15.906,13,1,2.101,80.52
15.968,13,0,1.336,53.76
11.307,1,0,1.053,28.48
13.106,13,0,2.492,78.77
5.097,23,0,1.01,12.17
13.81,16,1,1.582,51.89
6.187,2,0,2.106,30.38
15.025,21,0,1.47,49.9
20.0,21,1,1.415,65.92
20.0,20,1,1.582,75.67
19.455,20,1,1.579,71.29
20.0,12,1,0.992,50.57
2.172,9,0,1.307,6.15
7.411,21,0,1.41,26.27
5.428,19,1,1.115,15.35
7.339,2,0,1.673,31.68
